id,title_fa,Rate,Rate_cnt,Category1,Category2,Brand,Price,Seller,Is_Fake,min_price_last_month,sub_category
11514761,عینک آفتابی مدل ML6012 Transparent Apricot,0,0,اکسسوری زنانه و مردانه,عینک زنانه و مردانه,متفرقه,5450000,اُپتیک اِستور,False,0,clothe
10273777,عینک شب میباخ مدل N2001-Nog,100,1,اکسسوری زنانه و مردانه,عینک زنانه و مردانه,میباخ,5290000,فروشگاه آرکوشپ,False,0,clothe
10641330,عینک آفتابی دیوید بکهام مدل SA0037,40,2,اکسسوری زنانه و مردانه,عینک زنانه و مردانه,دیوید بکهام,5700000,ترند اپتیک,False,0,clothe
12189930,عینک آفتابی مدل گرد,100,1,اکسسوری زنانه و مردانه,عینک زنانه و مردانه,متفرقه,5500000,لوازم جانبی لوکاس,True,0,clothe
11709603,عینک آفتابی جنتل مانستر مدل B943,0,0,اکسسوری زنانه و مردانه,عینک زنانه و مردانه,جنتل مانستر,5300000,ارکان شاپ,False,1590000,clothe
10789215,عینک آفتابی اسپیریت مدل p00022 c5,0,0,اکسسوری زنانه و مردانه,عینک زنانه و مردانه,اسپیریت,5371000,دیجی‌کالا,False,4736000,clothe
11853812,عینک آفتابی اوپتل مدل 2153 01,0,0,اکسسوری زنانه و مردانه,عینک زنانه و مردانه,اوپتل,5791000,دیجی‌کالا,False,0,clothe
11937600,فریم عینک طبی مدل Z3398bl,0,0,اکسسوری زنانه و مردانه,عینک زنانه و مردانه,متفرقه,5250000,عینک دونی,False,0,clothe
10274215,عینک آفتابی میباخ مدل N2001 - tala,100,1,اکسسوری زنانه و مردانه,عینک زنانه و مردانه,میباخ,5310000,فروشگاه آرکوشپ,False,0,clothe
10681209,عینک آفتابی لاگوست مدل 2174 POLARIZED,80,2,اکسسوری زنانه و مردانه,عینک زنانه و مردانه,لاگوست,5670000,ترند اپتیک,False,0,clothe
5686710,عینک آفتابی مدل 2872 B,0,0,اکسسوری زنانه و مردانه,عینک زنانه و مردانه,متفرقه,4200000,اوپال اوپتیک,True,0,clothe
6756544,عینک آفتابی مدل 2021BL,20,2,اکسسوری زنانه و مردانه,عینک زنانه و مردانه,متفرقه,3900000,ریبن مارکت,False,0,clothe
12145994,عینک آفتابی مدل CORNERED BL01 GLO,0,0,اکسسوری زنانه و مردانه,عینک زنانه و مردانه,متفرقه,5000000,بازرگانی ایتالیا,False,0,clothe
11220628,عینک آفتابی مدل 22015  - bn,0,0,اکسسوری زنانه و مردانه,عینک زنانه و مردانه,متفرقه,3910000,فروشگاه آرکوشپ,True,0,clothe
12145388,عینک آفتابی مدل ZW9103,0,0,اکسسوری زنانه و مردانه,عینک زنانه و مردانه,متفرقه,5000000,بازرگانی ایتالیا,False,0,clothe
11053316,عینک آفتابی مدل 98002 - M-mat,0,0,اکسسوری زنانه و مردانه,عینک زنانه و مردانه,متفرقه,3940000,فروشگاه آرکوشپ,False,0,clothe
11047622,عینک آفتابی مدل D22839 - tos-mat,0,0,اکسسوری زنانه و مردانه,عینک زنانه و مردانه,متفرقه,4710000,فروشگاه آرکوشپ,True,0,clothe
11199771,عینک آفتابی مدل 2220 - fsor-mat,0,0,اکسسوری زنانه و مردانه,عینک زنانه و مردانه,متفرقه,4575000,فروشگاه آرکوشپ,True,0,clothe
11209928,عینک آفتابی مدل 2173  M-ts-gz,0,0,اکسسوری زنانه و مردانه,عینک زنانه و مردانه,متفرقه,4975000,فروشگاه آرکوشپ,True,0,clothe
12273246,عینک آفتابی مدل 7276 - m,0,0,اکسسوری زنانه و مردانه,عینک زنانه و مردانه,متفرقه,4450000,فروشگاه آرکوشپ,True,0,clothe
8678841,عینک آفتابی مدل ZN3580kbl,0,0,اکسسوری زنانه و مردانه,عینک زنانه و مردانه,متفرقه,4830000,عینک دونی,False,0,clothe
12286544,عینک آفتابی مدل 22030,0,0,اکسسوری زنانه و مردانه,عینک زنانه و مردانه,متفرقه,4720000,فروشگاه آرکوشپ,True,0,clothe
12273262,عینک آفتابی مدل 7276,0,0,اکسسوری زنانه و مردانه,عینک زنانه و مردانه,متفرقه,4400000,فروشگاه آرکوشپ,True,0,clothe
12286395,عینک آفتابی مدل 21008 - M-barg,0,0,اکسسوری زنانه و مردانه,عینک زنانه و مردانه,متفرقه,4500000,فروشگاه آرکوشپ,True,0,clothe
12286408,عینک آفتابی مدل 21008 - M-mat - Dn,0,0,اکسسوری زنانه و مردانه,عینک زنانه و مردانه,متفرقه,4500000,فروشگاه آرکوشپ,True,0,clothe
12391083,عینک آفتابی مدل 4232,0,0,اکسسوری زنانه و مردانه,عینک زنانه و مردانه,متفرقه,4090000,فروشگاه آرکوشپ,True,0,clothe
12423384,عینک آفتابی مدل 4239 - A-nog,0,0,اکسسوری زنانه و مردانه,عینک زنانه و مردانه,متفرقه,4000000,فروشگاه آرکوشپ,True,0,clothe
12346674,عینک آفتابی مدل 9652 - Fnok,0,0,اکسسوری زنانه و مردانه,عینک زنانه و مردانه,متفرقه,4320000,فروشگاه آرکوشپ,True,0,clothe
2591083,عینک آفتابی مدل Leo-c4,0,0,اکسسوری زنانه و مردانه,عینک زنانه و مردانه,متفرقه,4000000,مندو,False,0,clothe
6977991,عینک آفتابی مدل RB3026br,0,0,اکسسوری زنانه و مردانه,عینک زنانه و مردانه,متفرقه,4000000,اوپال اوپتیک,True,0,clothe
10774953,عینک آفتابی مدل 98006,0,0,اکسسوری زنانه و مردانه,عینک زنانه و مردانه,متفرقه,3980000,فروشگاه آرکوشپ,False,0,clothe
11386946,عینک آفتابی مدل 6074,0,0,اکسسوری زنانه و مردانه,عینک زنانه و مردانه,متفرقه,4850000,فروشگاه آرکوشپ,False,0,clothe
11053109,عینک آفتابی مدل 18152 - M-barg,0,0,اکسسوری زنانه و مردانه,عینک زنانه و مردانه,متفرقه,4330000,فروشگاه آرکوشپ,False,0,clothe
11386946,عینک آفتابی مدل 6074,0,0,اکسسوری زنانه و مردانه,عینک زنانه و مردانه,متفرقه,4850000,فروشگاه آرکوشپ,False,0,clothe
11749381,عینک آفتابی مدل PS18005 - Ft,0,0,اکسسوری زنانه و مردانه,عینک زنانه و مردانه,متفرقه,4890000,فروشگاه آرکوشپ,True,0,clothe
9258603,عینک آفتابی مدل JK 9909,0,0,اکسسوری زنانه و مردانه,عینک زنانه و مردانه,متفرقه,3990000,عینک افتابی کریمی,True,0,clothe
5664968,عینک آفتابی مدل 1617,0,0,اکسسوری زنانه و مردانه,عینک زنانه و مردانه,متفرقه,4020000,ریبن مارکت,False,5025000,clothe
2591058,عینک آفتابی مدل Leo-c3,60,2,اکسسوری زنانه و مردانه,عینک زنانه و مردانه,متفرقه,4000000,مندو,False,0,clothe
2594051,عینک آفتابی مدل Leo-c8,0,0,اکسسوری زنانه و مردانه,عینک زنانه و مردانه,متفرقه,4000000,مندو,False,0,clothe
6262011,عینک آفتابی مدل 1216,0,0,اکسسوری زنانه و مردانه,عینک زنانه و مردانه,متفرقه,4450000,عینک پرادا,True,0,clothe
6504422,عینک آفتابی مدل 620,0,0,اکسسوری زنانه و مردانه,عینک زنانه و مردانه,متفرقه,4200000,رزاکسسوریز,False,0,clothe
12148958,عینک آفتابی مدل  پلار کد 4012 - M-barg,0,0,اکسسوری زنانه و مردانه,عینک زنانه و مردانه,متفرقه,4800000,فروشگاه آرکوشپ,True,0,clothe
